                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.4674,                0.41117,                0.80366,                0.96387,                0.94754,                0.99436,                0.87438,                0.48912,                0.30567,                0.80263,              0.0001413,              0.0001413,              0.0001413
                     37,                0.45909,                0.38935,                0.80047,                0.95816,                0.97426,                  0.995,                0.86666,                0.50567,                0.31529,                0.80158,              0.0001392,              0.0001392,              0.0001392
                     38,                0.45037,                0.40487,                0.79283,                0.95784,                0.96464,                0.99424,                0.89608,                 0.4249,                 0.2905,                0.79535,             0.00013709,             0.00013709,             0.00013709
                     39,                0.44912,                0.38211,                0.79162,                0.90676,                0.99741,                0.99484,                0.89323,                0.45613,                0.28741,                0.79762,             0.00013498,             0.00013498,             0.00013498
                     40,                0.42561,                0.36152,                0.78517,                0.93712,                0.99072,                0.99447,                0.88529,                 0.4608,                 0.2909,                  0.798,             0.00013287,             0.00013287,             0.00013287
                     41,                0.43356,                0.34869,                0.80023,                0.90991,                0.99963,                0.99499,                0.88645,                0.46649,                0.29643,                0.79759,             0.00013076,             0.00013076,             0.00013076
                     42,                0.42847,                0.34576,                0.79357,                0.97282,                0.97045,                0.99491,                0.87466,                0.45188,                0.28438,                0.79341,             0.00012865,             0.00012865,             0.00012865
                     43,                0.44508,                0.35587,                0.79099,                0.96328,                0.98748,                0.99489,                0.88179,                0.47523,                0.27318,                0.79717,             0.00012654,             0.00012654,             0.00012654
                     44,                0.41978,                0.35923,                0.78222,                0.96581,                0.97497,                0.99498,                   0.89,                0.43549,                0.27696,                0.79347,             0.00012443,             0.00012443,             0.00012443
                     45,                0.41306,                0.35216,                0.78923,                0.93935,                0.98458,                0.99472,                0.88897,                0.43547,                0.27397,                0.79457,             0.00012233,             0.00012233,             0.00012233
                     46,                0.42192,                 0.3445,                0.79237,                0.95476,                0.99644,                0.99466,                0.89552,                0.42674,                0.27594,                0.79412,             0.00012022,             0.00012022,             0.00012022
                     47,                0.41659,                0.33015,                0.79795,                0.96917,                0.99065,                0.99497,                0.89301,                 0.4253,                0.27683,                0.79285,             0.00011811,             0.00011811,             0.00011811
                     48,                0.41283,                0.34562,                0.78484,                0.97306,                 0.9828,                  0.995,                0.88652,                0.46065,                0.28244,                0.79663,               0.000116,               0.000116,               0.000116
                     49,                0.41399,                0.33168,                0.78521,                0.96887,                0.98955,                0.99491,                0.89123,                0.45699,                0.28571,                0.79556,             0.00011389,             0.00011389,             0.00011389
                     50,                0.40506,                0.32615,                0.78952,                0.97635,                0.97714,                  0.995,                0.89861,                0.43394,                0.26381,                0.79243,             0.00011178,             0.00011178,             0.00011178
                     51,                0.39555,                0.30844,                0.79354,                0.97672,                0.99339,                  0.995,                0.88614,                0.46166,                0.26966,                0.79394,             0.00010967,             0.00010967,             0.00010967
                     52,                0.39425,                0.29958,                0.79731,                0.97547,                0.99153,                  0.995,                0.89083,                0.43621,                0.26207,                 0.7913,             0.00010757,             0.00010757,             0.00010757
                     53,                0.39265,                0.30335,                0.79076,                0.97722,                0.99358,                  0.995,                0.89831,                0.41654,                0.24892,                0.78922,             0.00010546,             0.00010546,             0.00010546
                     54,                0.38909,                0.31033,                0.79717,                0.97613,                 0.9949,                  0.995,                0.89874,                0.42826,                 0.2566,                0.79103,             0.00010335,             0.00010335,             0.00010335
                     55,                0.38871,                0.30248,                0.78019,                0.97717,                 0.9893,                0.99487,                0.89062,                0.43387,                0.25676,                0.79171,             0.00010124,             0.00010124,             0.00010124
                     56,                0.38567,                0.29254,                0.78846,                0.97314,                0.99256,                  0.995,                 0.9085,                0.38248,                 0.2382,                0.78602,              9.913e-05,              9.913e-05,              9.913e-05
                     57,                0.36785,                0.28018,                0.78544,                0.97269,                0.99558,                  0.995,                0.90146,                0.39795,                0.23943,                 0.7888,             9.7021e-05,             9.7021e-05,             9.7021e-05
                     58,                0.37133,                0.27805,                0.78901,                0.98228,                0.99156,                  0.995,                0.91099,                0.39198,                0.23956,                0.78799,             9.4913e-05,             9.4913e-05,             9.4913e-05
